size_mean,size_std,size_min,size_25%,size_50%,size_75%,size_max,minute,ID,Unnamed: 0_mean,Unnamed: 0_std,Unnamed: 0_min,Unnamed: 0_25%,Unnamed: 0_50%,Unnamed: 0_75%,Unnamed: 0_max
5070.817371602629,15542.909187733125,27.0,27.0,27.0,1051.0,65535.0,6,./data/raw/Raw_traffic_and_movement_data/group1_order1_user10,,,,,,,
5078.490958848757,15536.75165165441,27.0,27.0,27.0,1051.0,65535.0,7,./data/raw/Raw_traffic_and_movement_data/group1_order1_user10,,,,,,,
5053.949436720545,15537.68635092009,27.0,27.0,27.0,1051.0,65535.0,8,./data/raw/Raw_traffic_and_movement_data/group1_order1_user10,,,,,,,
5085.935830098196,15607.243559790113,27.0,27.0,27.0,1051.0,65535.0,9,./data/raw/Raw_traffic_and_movement_data/group1_order1_user10,,,,,,,
5100.389159399558,15619.751364038017,27.0,27.0,27.0,1051.0,65535.0,0,./data/raw/Raw_traffic_and_movement_data/group1_order1_user11,,,,,,,
5111.688402521819,15640.613863391041,27.0,27.0,27.0,1051.0,65535.0,1,./data/raw/Raw_traffic_and_movement_data/group1_order1_user11,,,,,,,
4974.081180602764,15283.857321583862,27.0,27.0,27.0,1051.0,65535.0,2,./data/raw/Raw_traffic_and_movement_data/group1_order1_user11,,,,,,,
5096.323134193708,15592.189637127534,27.0,27.0,27.0,1051.0,65535.0,3,./data/raw/Raw_traffic_and_movement_data/group1_order1_user11,,,,,,,
5002.599844347883,15330.171020399888,27.0,27.0,27.0,1051.0,65535.0,4,./data/raw/Raw_traffic_and_movement_data/group1_order1_user11,,,,,,,
5091.100737770337,15585.94906963616,27.0,27.0,27.0,1051.0,65535.0,5,./data/raw/Raw_traffic_and_movement_data/group1_order1_user11,,,,,,,
5077.359118150884,15532.47003313097,27.0,27.0,27.0,1051.0,65535.0,6,./data/raw/Raw_traffic_and_movement_data/group1_order1_user11,,,,,,,
5340.432558876386,15843.001544971932,27.0,27.0,27.0,1051.0,65535.0,7,./data/raw/Raw_traffic_and_movement_data/group1_order1_user11,,,,,,,
5204.942099198896,15689.167089249435,27.0,27.0,27.0,1051.0,65535.0,8,./data/raw/Raw_traffic_and_movement_data/group1_order1_user11,,,,,,,
5116.414466433361,15643.239655529358,27.0,27.0,27.0,1051.0,65535.0,9,./data/raw/Raw_traffic_and_movement_data/group1_order1_user11,,,,,,,
5084.895079880829,15608.075005923176,27.0,27.0,27.0,1051.0,65535.0,0,./data/raw/Raw_traffic_and_movement_data/group1_order1_user12,,,,,,,
5122.552578125745,15700.877029735359,27.0,27.0,27.0,1051.0,65535.0,1,./data/raw/Raw_traffic_and_movement_data/group1_order1_user12,,,,,,,
5034.562241183382,15443.586512859103,27.0,27.0,27.0,1051.0,65535.0,2,./data/raw/Raw_traffic_and_movement_data/group1_order1_user12,,,,,,,
5058.134824503696,15508.749763136751,27.0,27.0,27.0,1051.0,65535.0,3,./data/raw/Raw_traffic_and_movement_data/group1_order1_user12,,,,,,,
5080.914811295471,15543.858483242553,27.0,27.0,27.0,1051.0,65535.0,4,./data/raw/Raw_traffic_and_movement_data/group1_order1_user12,,,,,,,
5071.930867493594,15545.716036942418,27.0,27.0,27.0,1051.0,65535.0,5,./data/raw/Raw_traffic_and_movement_data/group1_order1_user12,,,,,,,
5037.5742902238935,15452.585131717382,27.0,27.0,27.0,1051.0,65535.0,6,./data/raw/Raw_traffic_and_movement_data/group1_order1_user12,,,,,,,
5050.74979103661,15557.890688274865,27.0,27.0,27.0,1051.0,65535.0,7,./data/raw/Raw_traffic_and_movement_data/group1_order1_user12,,,,,,,
5061.013301022891,15612.041322467767,27.0,27.0,27.0,1051.0,65535.0,8,./data/raw/Raw_traffic_and_movement_data/group1_order1_user12,,,,,,,
5085.573584795065,15594.420123616444,27.0,27.0,27.0,1051.0,65535.0,9,./data/raw/Raw_traffic_and_movement_data/group1_order1_user12,,,,,,,
2905.928379537656,11482.916680227581,27.0,27.0,27.0,1051.0,65535.0,0,./data/raw/Raw_traffic_and_movement_data/group1_order1_user13,,,,,,,
