,time_mean,time_std,time_min,time_25%,time_50%,time_75%,time_max,size_mean,size_std,size_max,time_interval,ID
0,4.948706474372956,2.8269541201972626,0.040535,2.52321425,4.945937499999999,7.341103,9.999942,6995.468338785896,18301.52371526899,65535.0,0,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
1,15.045241788289289,2.814500141762793,10.000526,12.58830825,15.0450295,17.47679975,19.983772,6972.206899104301,18279.78685163097,65535.0,1,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
2,24.98152670622958,2.81491489856038,20.046482,22.49688675,25.016635,27.38637375,29.994027,6950.639738639738,18241.34617563392,65535.0,2,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
3,35.12544510230766,2.906111336880706,30.000629,32.441171,35.297002,37.574355,39.999947,6938.741600918621,18169.337318297134,65535.0,3,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
4,44.90421847561381,2.861812817595586,40.000011,42.481661,44.791939,47.267945,49.999146,6683.086394683404,17460.832528372783,65535.0,4,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
5,55.017442446578336,2.886819563420409,50.000866,52.59140725,55.020975500000006,57.51581125,59.995344,7006.512721121996,18310.106949905145,65535.0,5,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
6,65.12376483131548,2.864913366518852,60.002293,62.679732,65.117922,67.67172,69.998929,7032.933429597541,18385.000886849597,65535.0,6,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
7,74.87581753221133,2.875116554394793,70.000782,72.466904,74.668444,77.377537,79.999721,6969.672488389632,18304.934846673925,65535.0,7,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
8,85.00670367263986,2.839577494571897,80.000177,82.53184275,84.8707955,87.4707575,89.997547,7021.995920745921,18349.738417344728,65535.0,8,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
9,95.00753425588488,2.906205916583162,90.001679,92.4059275,95.117061,97.553174,99.946966,6936.45249671992,18305.82794157109,65535.0,9,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
10,105.03254704363778,2.874122281804821,100.011369,102.6635605,105.004702,107.546334,109.999583,6963.758138636803,18305.454182920013,65535.0,10,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
11,115.11128968128688,2.867698377602147,110.000093,112.613924,115.152967,117.559425,119.999306,6961.884559723923,18308.024995911564,65535.0,11,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
12,125.20947686873755,2.897621316638224,120.002025,122.7925415,125.219127,127.7607145,129.995306,6705.973188294775,17724.179560986577,65535.0,12,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
13,135.1414573746114,2.8665934482683504,130.000552,132.6909485,135.281902,137.5260645,139.998422,7090.343890575285,18480.46405858216,65535.0,13,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
14,144.9825940097943,2.899312822031296,140.000401,142.52033225000002,144.902996,147.49259175,149.999644,7079.378913931327,18547.684721806883,65535.0,14,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
15,154.98025025885133,2.855933396435991,150.000136,152.50620525,154.80086699999998,157.54488575,159.996923,6942.237904517783,18327.86208233972,65535.0,15,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
16,164.99144352707796,2.8789863506054574,160.002871,162.579544,164.9330435,167.49431024999998,169.999949,6955.106742013971,18390.99379620265,65535.0,16,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
17,175.0426731801007,2.9008148980033406,170.000042,172.578315,175.168308,177.50894649999998,179.999993,7070.64229793803,18476.59362594964,65535.0,17,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
18,184.91750004966323,2.9362945420064546,180.000205,182.35327875,184.8309495,187.5295985,189.998513,7106.143707904998,18502.030667828305,65535.0,18,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
19,194.9192854243686,2.8946796996814657,190.000563,192.4297225,194.94881400000003,197.41268625,199.994765,6957.5006349654295,18112.65298014097,65535.0,19,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
20,205.0429772593028,2.904787307458739,200.001912,202.5266995,205.0837675,207.5380075,209.99825,6944.723596330276,18180.31211035421,65535.0,20,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
21,214.85199775272605,2.830937924637403,210.000237,212.49031875,214.787387,217.29722225,219.999937,6874.002726033621,18014.81219166615,65535.0,21,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
22,224.96314584028465,2.8536849681202603,220.000011,222.546068,225.003477,227.37194,229.996856,7042.95231282785,18410.478126391325,65535.0,22,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
23,234.9629966905121,2.862112051712963,230.003395,232.501147,234.937409,237.4428965,239.999987,7071.803587839577,18439.10523262793,65535.0,23,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
24,245.10245071874053,2.8901192809460894,240.000065,242.5807595,245.197256,247.62207225,249.999748,6895.966505001516,18127.745518224423,65535.0,24,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
25,254.96685700308245,2.8589688778742004,250.000127,252.474451,254.931789,257.4922575,259.964322,6972.312685772999,18288.050103010544,65535.0,25,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
26,264.8406036168031,2.849581929289682,260.019844,262.364885,264.81504,267.24557500000003,269.994609,6965.167262110561,18265.597641652777,65535.0,26,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
