,time_mean,time_std,time_min,time_25%,time_50%,time_75%,time_max,size_mean,size_std,size_50%,size_max,time_interval,ID
0,5.129405668998237,2.833210087617513,0.005345,2.6982695,5.0528165000000005,7.48442125,9.981664,4991.357520832066,15268.52666088773,27.0,65535.0,0,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
1,15.001227796309074,2.9004047947505294,10.057391,12.45929975,15.0021515,17.5694375,19.948257,5012.860871564907,15308.261149543348,27.0,65535.0,1,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
2,25.15780068802046,2.89418663064077,20.008955,22.720716,25.11082,27.801764,29.948656,4991.988553784737,15293.740473788068,27.0,65535.0,2,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
3,35.19722595161336,2.8802662915569712,30.008978,32.671122,35.388393,37.723473,39.999094,5120.99274057561,15610.494231352302,27.0,65535.0,3,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
4,45.14151260982698,2.883148931157345,40.003803,42.634958,45.159503,47.6409675,49.999292,5161.590222368457,15782.802339815744,27.0,65535.0,4,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
5,55.04895002821969,2.973322209694626,50.000343,52.396128,55.170051,57.702214,59.99955,5169.61226917244,15860.5133990659,27.0,65535.0,5,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
6,65.07624764457813,2.867035465797963,60.000077,62.67539,65.136659,67.5882775,69.998912,5184.107261788163,15904.899270752378,27.0,65535.0,6,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
7,74.85674781591877,2.8656670390164733,70.000317,72.3303635,74.7300125,77.389417,79.995831,5064.366327255506,15560.73503240353,27.0,65535.0,7,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
8,84.99254152307259,2.858187181673847,80.000198,82.52545699999999,84.959891,87.4777245,89.963628,5119.738999295279,15668.197231916476,27.0,65535.0,8,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
9,95.14142246070858,2.892885126262951,90.031003,92.71979075,95.2647945,97.61985575,99.999948,5182.731699520511,15809.886862872963,27.0,65535.0,9,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
10,104.90782714745826,2.9144936059682154,100.000043,102.367506,104.827278,107.49016,109.975257,5119.789181895515,15741.253300099745,27.0,65535.0,10,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
11,114.87898297388632,2.8864687118747336,110.023286,112.397835,114.724906,117.497969,119.999572,5136.872353242372,15810.019956495633,27.0,65535.0,11,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
12,124.958073320888,3.028992192770896,120.001293,122.145281,125.223934,127.6359945,129.999566,5158.612390300584,15839.015319023854,27.0,65535.0,12,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
13,135.2175809725015,2.8926537984778355,130.00006,132.6874795,135.224623,137.75667750000002,139.998468,5127.772970936803,15636.75328487464,27.0,65535.0,13,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
14,144.98243197911285,2.820419305861541,140.00147,142.66474575,145.005543,147.2670305,149.999908,5124.160206718347,15753.453914006966,27.0,65535.0,14,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
15,155.01274767867852,2.867654647052936,150.00149,152.5997,154.993265,157.370963,159.999735,5209.384754667695,15913.864698454834,27.0,65535.0,15,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
16,164.9430782741883,2.864012894072704,160.000108,162.496856,164.863926,167.217425,169.999767,5014.915352058484,15283.565726778132,27.0,65535.0,16,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
17,175.15681466519217,2.912480592810107,170.000229,172.60865225,175.263812,177.68169825,179.999956,5085.054998309478,15495.668539504766,27.0,65535.0,17,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
18,185.07242372758415,2.945209598487999,180.000116,182.48899075,185.061551,187.71973625,189.999721,5041.291185944363,15447.034906848863,27.0,65535.0,18,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
19,195.1129041230156,2.947998251257744,190.001579,192.452475,195.237147,197.80982025,199.999604,5036.693004164906,15469.4158651919,27.0,65535.0,19,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
20,204.94727982840783,2.8820056514861103,200.000213,202.46278275,204.8477415,207.4212305,209.930379,5121.987681452779,15670.13748082329,27.0,65535.0,20,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
21,214.99219202476635,2.958684318307053,210.005173,212.34709725,214.982607,217.6114855,219.999264,5092.234790395702,15584.91270818298,27.0,65535.0,21,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
22,224.98488662497056,2.9264472690586065,220.001126,222.51418925,224.9338215,227.52588375,229.999949,5092.533168666197,15576.378167388488,27.0,65535.0,22,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
23,235.14318435277508,2.8939407681859373,230.000049,232.73019775,235.0395565,237.75835275,239.999547,5082.571321537664,15555.587692152856,27.0,65535.0,23,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
24,244.98734094565157,2.8921931892330788,240.000013,242.40861575,244.9276555,247.51108975,249.998809,5083.332396950066,15576.498595378584,27.0,65535.0,24,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
25,254.9558241241253,2.987618026957526,250.00304,252.390983,254.773066,257.803817,259.999793,4998.042900587558,15379.835861707548,27.0,65535.0,25,./data/raw/Raw_traffic_and_movement_data/group1_order1_user0
